Episode ID,Episode Short Name,Clinical Chapter,Trigger Code Raw,Trigger Code,Code System (PACES),Match Score,NHSN Category,Long Description,Code Status,Has NHSN Long Description,CPT Codes,Procedure Code Descriptions
TP0059,Lung resection,Respiratory System,32500-32545,32501,CPT,1.0,THOR,Resection and repair of portion of bronchus (bronchoplasty) when performed at time of lobectomy or segmentectomy (List separately in No changeition to code for primary procedure),No change,True,32501,Resection and repair of portion of bronchus (bronchoplasty) when performed at time of lobectomy or segmentectomy (List separately in No changeition to code for primary procedure)
TP0059,Lung resection,Respiratory System,32500-32545,32503,CPT,1.0,THOR,"Resection of apical lung tumor (eg, Pancoast tumor), including chest wall resection, rib(s) resection(s), neurovascular dissection, when performed; without chest wall reconstruction(s)",No change,True,32503,"Resection of apical lung tumor (eg, Pancoast tumor), including chest wall resection, rib(s) resection(s), neurovascular dissection, when performed; without chest wall reconstruction(s)"
TP0059,Lung resection,Respiratory System,32500-32545,32504,CPT,1.0,THOR,"Resection of apical lung tumor (eg, Pancoast tumor), including chest wall resection, rib(s) resection(s), neurovascular dissection, when performed; with chest wall reconstruction",No change,True,32504,"Resection of apical lung tumor (eg, Pancoast tumor), including chest wall resection, rib(s) resection(s), neurovascular dissection, when performed; with chest wall reconstruction"
TP0059,Lung resection,Respiratory System,32500-32545,32505,CPT,1.0,THOR,"Thoracotomy; with therapeutic wedge resection (eg, mass, nodule), initial",No change,True,32505,"Thoracotomy; with therapeutic wedge resection (eg, mass, nodule), initial"
TP0059,Lung resection,Respiratory System,32500-32545,32506,CPT,1.0,THOR,"Thoracotomy; with therapeutic wedge resection (eg, mass or nodule), each No changeitional resection, ipsilateral (List separately in No changeition to code for primary procedure)",No change,True,32506,"Thoracotomy; with therapeutic wedge resection (eg, mass or nodule), each No changeitional resection, ipsilateral (List separately in No changeition to code for primary procedure)"
TP0059,Lung resection,Respiratory System,32500-32545,32507,CPT,1.0,THOR,Thoracotomy; with diagnostic wedge resection followed by anatomic lung resection (List separately in No changeition to code for primary procedure),No change,True,32507,Thoracotomy; with diagnostic wedge resection followed by anatomic lung resection (List separately in No changeition to code for primary procedure)
TP0059,Lung resection,Respiratory System,32500-32545,32540,CPT,1.0,THOR,Extrapleural enucleation of empyema (empyemectomy),No change,True,32540,Extrapleural enucleation of empyema (empyemectomy)
TP0059,Lung resection,Respiratory System,32657-32669,32658,CPT,1.0,CARD,"Thoracoscopy, surgical; with removal of clot or foreign body from pericardial sac",No change,True,32658,"Thoracoscopy, surgical; with removal of clot or foreign body from pericardial sac"
TP0059,Lung resection,Respiratory System,32657-32669,32659,CPT,1.0,CARD,"Thoracoscopy, surgical; with creation of pericardial window or partial resection of pericardial sac for drainage",No change,True,32659,"Thoracoscopy, surgical; with creation of pericardial window or partial resection of pericardial sac for drainage"
TP0059,Lung resection,Respiratory System,32657-32669,32661,CPT,1.0,CARD,"Thoracoscopy, surgical; with excision of pericardial cyst, tumor, or mass",No change,True,32661,"Thoracoscopy, surgical; with excision of pericardial cyst, tumor, or mass"
